company,quoted,country,industry,operating_revenue_2023,operating_revenue_2022,operating_revenue_2021,operating_revenue_2020,operating_revenue_2019,net_income_2023,net_income_2022,net_income_2021,net_income_2020,net_income_2019,cash_flow_2023,cash_flow_2022,cash_flow_2021,cash_flow_2020,cash_flow_2019,total_assets_2023,total_assets_2022,total_assets_2021,total_assets_2020,total_assets_2019,profit_margin_2023,profit_margin_2022,profit_margin_2021,profit_margin_2020,profit_margin_2019,solvency_ratio_2023,solvency_ratio_2022,solvency_ratio_2021,solvency_ratio_2020,solvency_ratio_2019,cogs_2023,cogs_2022,cogs_2021,cogs_2020,cogs_2019,ebitda_2023,ebitda_2022,ebitda_2021,ebitda_2020,ebitda_2019,cash_2023,cash_2022,cash_2021,cash_2020,cash_2019
SHELL PLC,Yes,GB,Crude_Oil,316620.0,381314.0,261845.0,180816.0,345056.0,19359.0,42309.0,20101.0,-21680.0,15842.0,50649.0,60838.0,47022.0,30764.0,44543.0,406270.0,443024.0,404379.0,379268.0,404336.0,10.305,16.998,11.392,-14.914,7.386,46.364,43.473,43.357,41.801,47.105,-212883.0,-258488.0,-174912.0,-117093.0,-252983.0,65752.0,85610.0,53642.0,28970.0,55430.0,12476.0,11755.0,10265.0,7051.0,18055.0
TOTALENERGIES SE,Yes,FR,Crude_Oil,219465.0,263536.0,184829.0,120234.0,176504.0,21384.0,20526.0,16032.0,-7242.0,11267.0,35462.0,34383.0,30487.0,15732.0,27723.0,283654.0,303864.0,293458.0,266132.0,273294.0,15.862,16.425,14.042,-5.837,9.807,42.112,37.704,39.188,39.862,43.654,-133284.0,-159240.0,-118171.0,-77486.0,-116221.0,45305.0,61116.0,38323.0,16132.0,32452.0,27263.0,33026.0,21342.0,31268.0,27352.0
ELECTRICITE DE FRANCE,No,FR,Electricity,170460.691500664,165669.56551373,102581.875047684,95435.1938146353,90022.5238769054,11067.684967041,-19134.794819355,5790.9853720665,797.614544630051,5791.12624585629,37777.7569541931,-5438.59079062939,18750.1980900764,15077.3690921068,17471.1145248413,403117.440914154,413981.392576694,408830.202584267,375358.631802201,340709.20123148,6.369,-14.754,6.165,1.651,8.106,17.576,12.009,17.173,18.054,18.395,-83002.1122503281,-135328.009871244,-50375.7964754105,-40154.3703752756,-39393.1392700672,42689.4841585159,-4054.14465487003,19956.4174175262,20582.1365493536,19415.719671607,11906.3803434372,11677.1311974525,11234.2624497414,7693.91260743141,4419.45502448082
ENEL SPA,Yes,IT,Electricity,108351.928627014,153606.325301528,99675.6226587296,86114.1475361586,89874.2350962162,3798.9917049408,1794.02033925056,3611.86238050461,3202.72917151451,2442.27128195763,12489.820605278,8285.34482479095,13465.4850554466,12037.8441274166,13643.6912232637,215722.61681366,234244.446412325,234380.307626724,200573.06178987,192579.943321466,7.757,5.17,6.25,7.785,5.39,23.106,19.161,20.461,25.914,27.381,-55642.2999715805,-111129.000681639,-57988.00314188,-32766.0054934025,-6790.95211565495,27495.7273397446,17448.5010284185,17039.9716258049,21835.0049340725,20712.1231027842,7515.10837268829,11776.3249498606,10032.5735235214,7044.77707803249,8983.82863008976
ENI S.P.A.,Yes,IT,Crude_Oil,105270.082243919,142832.60387063,87962.2702789307,55142.161218524,79636.6922293901,5271.95736598969,14811.8670934439,6592.86638975143,-10596.0024505854,166.263178348541,16853.4675636292,24536.0546278954,15353.5297679901,2272.58790254593,11730.5412724018,157579.700719833,162261.780148745,156032.681357861,134548.983983994,138672.477941513,10.736,16.465,13.758,-13.303,8.106,37.617,36.304,32.315,34.194,38.804,-80853.9912862778,-109458.705883026,-60754.9456930161,-41333.6128020287,-56933.9045858383,20950.8094024658,28299.0176224709,21910.1529479027,10054.8516595364,19119.1421102285,11263.2700548172,10831.3178032637,9348.48293781281,11550.6857055426,6733.65872311592
E.ON SE,Yes,DE,Electricity,104470.06188488,124526.556853652,89487.8828930855,76523.1394118071,47834.3657708168,571.285256385803,1952.94366300106,5313.02804231644,1247.95998752117,2955.66501510143,4454.25699901581,5555.91673433781,9755.0864481926,6360.05566895008,5766.41144907475,125424.186288834,142933.930822015,135639.080221653,117046.866676211,110729.029980421,0.107,1.71,7.75,3.497,4.373,17.594,16.318,14.937,9.493,13.275,-70884.6768121719,-115727.111075521,-88426.6364049911,-57802.5124996901,-36230.7686818838,24180.7258520126,468.237175345421,-8205.68922758102,7962.64735400677,4480.11861658096,6171.42776966095,7811.77465200424,4115.86951732635,3273.9009308815,2127.71932291985
IBERDROLA SA,Yes,ES,Electricity,55425.719874382,58513.6479258537,45427.4657320976,41501.7254060507,41674.18694542,5307.31738185883,4627.97517955303,4400.15219449997,4431.05557024479,3826.64927907836,10566.0147418976,9633.52657794952,9263.53791475296,9453.57300281525,9067.66683777201,165786.539402962,164967.743050456,160548.358783722,150341.751967669,137469.323438593,14.005,11.469,15.71,14.94,12.923,40.186,37.574,39.595,38.54,38.567,-28766.4779100418,-35602.0243185759,-24594.4156765938,-20501.1479955912,-21438.0697052485,15930.7921495438,14117.5108265877,13597.99929142,12283.2639873028,12261.7948164198,3335.99649715424,4914.89044189453,4567.77704000473,4205.26929914951,2374.05731944072
ENBW ENERGIE BADEN-WUERTTEMBERG AG,Yes,DE,Electricity,50256.527554512,62592.1110490561,36966.6016552448,24690.2195839882,21728.5752904177,1699.04876251221,1853.74991059303,411.473691701889,731.473892390728,824.800172591209,4347.84545125961,4341.16657716036,3406.74846482277,2646.48505908251,2676.83717141151,71514.4165947914,74132.6108520627,80724.0482339859,56403.6192983389,48629.8452072263,6.246,4.082,1.573,4.983,4.665,24.495,18.372,11.925,16.902,17.199,-39314.7021439552,-54499.5007517934,-29327.8921415806,-17556.9686464667,-16651.9313515186,5483.78596105576,4378.71087914705,3808.8215739727,3417.10341912508,2220.39981085062,6624.5884730339,6906.87164616585,7535.30310559273,1537.18729239702,1532.09272048473
PUBLIC JOINT STOCK COMPANY GAZPROM NEFT,Yes,RU,Crude_Oil,39246.577947394,48510.808369278,41302.1210652161,27067.3585247062,40146.6761043146,7108.12864204124,10780.6646009861,6776.51601030026,1593.20322411228,6464.687645806,10717.5848012175,14978.382725561,9932.63111330289,4599.17144450638,9401.60631982051,67495.7352735158,72917.234412089,66769.408183937,57653.2489558551,61795.3295702431,21.808,26.211,20.628,7.175,20.433,49.454,53.339,51.168,53.119,57.854,-5216.9344382789,-4697.72167647444,-15762.1349168662,-10230.5497204615,-14914.8791191801,11648.95485288,16571.6579978382,10711.8742577741,4971.12055360805,10150.6003804877,6607.28295565769,6429.13094489183,7718.41330660228,3208.24042132962,3269.55364494771
"ENDESA, S.A. (SPAIN)",Yes,ES,Electricity,28132.2076253891,35086.8567657471,23670.2138257027,21571.1785846949,22645.4942510128,819.910367965698,2710.2292996645,1625.2814412117,1710.5764234066,192.101374983788,2879.63129234314,4540.51402151585,4113.60431671143,3903.40287148952,3924.03568899632,45617.7354726791,53287.3104333878,45267.7690887451,39343.2577383518,35927.4507213831,4.183,10.6,9.206,10.171,1.141,17.45,11.531,13.871,23.283,24.505,-18024.7680892944,-24952.0284283161,-12389.5147633553,-6922.06714808941,-9654.49834275246,7659.86343765259,8030.42754709721,4190.62113761902,4642.11664974689,4314.97883808613,2327.13104438782,929.008154273033,796.218016147614,494.521017670631,250.518167376518
PGE POLSKA GRUPA ENERGETYCZNA S.A,Yes,PL,Electricity,24420.0774215162,16884.9111210108,13033.0050465167,12232.5987741351,10289.3851410151,-1273.69764745235,756.054359436035,978.325132191181,29.2677730321884,-1042.99965563416,2157.30633065104,1749.05724558234,2066.74878756702,1247.87141382694,1963.82010394335,28829.2263008654,24030.6244087815,21988.6701538861,21709.7697526217,20446.5850189328,-4.22,5.53,9.206,0.683,-12.036,42.184,51.412,54.093,53.314,55.553,-18864.5498335361,-14402.7446753383,-11042.118328616,-9893.83763819933,-7582.74705460668,3013.72314468026,1704.07564607263,1373.64533288777,1656.82202428579,2067.56710326672,1533.16398784518,2700.48622915149,1658.37439955771,1114.57001119852,345.735558658838
NORSK HYDRO ASA,Yes,NO,Crude_Oil,19435.3003201559,21443.0025971532,17178.6842671335,16423.0945404917,17155.238983117,352.310725383461,2449.69580534101,1378.68476390839,216.295422390103,-206.264234535396,1710.71783427894,3355.27392266691,2317.57362327725,1652.75494030118,874.031880632043,20301.0820497125,20143.8139217198,19785.9404209852,19274.0909508467,18724.4872566834,3.312,15.308,12.142,1.862,-1.033,51.914,54.274,50.644,47.105,51.144,-12147.2962300926,-13120.9942628294,-10072.9021776244,-9916.99857497215,-11101.8221960813,2291.15049181134,4008.82363574207,2935.37405736744,2274.09138402343,1125.85420120507,2420.64901967347,3022.8195527941,2598.97951012105,2067.76079139113,1399.31661264598
PJSC TATNEFT,Yes,RU,Crude_Oil,18229.9579046462,21306.8987784516,17343.2344940472,10012.31827942,15474.6983476505,3210.24022415932,4045.80769345537,2670.6831821464,1400.86663152091,3105.6915069744,4066.594920123,5057.38757132366,3294.09654213022,2053.54405322392,4147.13037697412,22803.1183205275,23825.6547642676,20221.2465325864,17102.2546892976,20008.4813404102,22.355,24.5,19.97,18.528,26.341,58.536,65.904,62.796,65.819,60.722,-3448.46526724193,-1892.27651484869,-1682.19982001465,-1202.81774094421,-937.651977602392,5069.45701410715,7276.26085020415,4199.82603754103,2661.02393233683,5524.22494146787,937.859192122705,2386.5505483821,894.934342334978,542.871352373622,406.376163741574
HERA SPA,Yes,IT,Electricity,17199.4432188988,22004.1607626677,12408.0894083977,9260.67299294472,8362.13915104866,487.747218894959,272.196189403534,377.722202539444,371.442957937717,433.295323574543,1069.19847984314,782.670704483986,909.931087017059,932.350047707558,920.513840126991,16663.4074783325,18258.5833397508,15892.0812141895,13540.7953493595,11642.1297039151,4.217,1.982,3.714,5.759,7.095,24.878,21.291,24.351,28.594,29.045,-14727.5571095467,-20090.2546409369,-10344.1518681049,-7160.73796182871,-6387.8762481451,1772.75229558945,1290.69204074144,1396.49617910385,1385.39510905743,1225.4045604229,1472.74466094971,2071.76284599304,1003.03083229065,1211.26971846819,408.917546749115
VESTAS WIND SYSTEMS A/S,Yes,DK,Electricity,17052.3676528931,15450.7601869106,17653.8409924507,18237.1497881413,13645.9380229712,85.0850381851196,-1676.69439554214,151.768441200256,938.730964064598,790.873497009277,943.67042350769,-516.234152317047,1263.98194313049,1778.0668848753,1404.24981713295,24877.9811649323,21427.9837191105,22253.3308410645,22284.1232776642,16099.4433034658,0.661,-11.708,1.437,6.284,7.483,13.512,15.231,23.906,25.898,23.341,-15207.0168247223,-14925.9932386875,-15393.1707787514,-15949.8366940022,-11387.9043170214,1018.81045722961,-541.832540035248,1439.53499078751,1748.61650168896,1741.26977324486,3633.2416305542,2508.64199638367,2711.44513607025,3758.60515415668,3244.37877750397
A2A S.P.A.,Yes,IT,Electricity,16307.5973186493,24708.8437449932,13080.4009509087,8420.35539269447,8227.78052854538,728.195326805115,427.706394791603,570.830554962158,446.664144992828,437.002543091774,1615.51072502136,1202.05762326717,1339.86616373062,1133.8397526741,1011.05986833572,20771.7993221283,22790.0312656164,20395.8663368225,15002.5160348415,12048.4634310007,5.956,3.263,5.109,6.835,7.933,25.545,20.906,23.895,33.666,34.042,-12808.0607481003,-21867.4227082729,-10293.0715942383,-5755.09571433067,-5792.24964570999,2177.95597743988,1605.23222982883,1617.35323905945,1477.42755651474,1386.27541947365,1800.04580783844,2756.09307765961,1091.82669639587,1241.82449102402,487.55553650856
CEZ A.S.,Yes,CZ,Electricity,15205.8006147109,12744.1191863716,10362.3983926512,9986.67451266199,9115.0704421401,1319.44938896596,3572.07286280394,446.038918789476,254.266619846225,635.383077252656,3135.50227373838,4893.83621397614,2606.62392557412,2701.82831209898,2132.92966634408,36904.0483904444,48964.449865222,53896.4528730847,32845.094013229,31146.9001789615,23.223,34.565,5.902,3.702,8.929,29.742,23.502,13.764,33.961,36.244,-8073.82897339761,-7163.51254552603,-5798.59705628827,-5625.84768295288,-5233.85371400043,4973.36423932016,4040.28121009469,3102.45556607097,2791.60247725248,2356.57142435014,486.771533146501,1618.72125658393,1213.61217409372,283.536738276482,431.236479412764
HELLENIQ ENERGY HOLDINGS SOCIETE ANONYME,Yes,GR,Crude_Oil,14217.7496607513,15526.5687455386,10482.7255157232,7157.10942920029,9987.50214438736,527.894096912384,948.741311405301,382.189178152084,-485.719034395814,180.640449676275,883.132971339226,1283.69514809847,676.81702653408,-174.772071920037,447.367030142069,8959.67883599377,9132.22481846809,8870.79290173531,8313.28852462053,7967.67414341748,4.695,9.761,4.398,-9.974,2.328,36.338,31.855,27.183,27.29,32.803,-12329.4132082891,-13068.8558081198,-9160.49054097891,-6834.69154247344,-8783.84548173237,1190.30984919643,1754.27884231806,745.331416933537,-306.276622542143,649.778968983173,1016.00044096851,960.127260942459,1192.19547044277,1476.07774728537,1222.48147400355
AKER BP ASA,Yes,NO,Crude_Oil,13669.7,12973.907,5693.558,2920.252,3378.97,1335.7,1602.94,827.928,44.715,141.051,4632.0,4420.766,2283.371,1739.661,1099.733,39046.5,37561.78,16708.025,12420.091,12226.786,64.113,67.65,50.861,5.605,32.088,31.66,33.086,13.148,16.001,19.364,-1060.0,-932.87,-745.313,-627.975,-720.321,12285.4,11746.266,4565.951,2068.721,2317.805,3366.9,2756.012,1970.906,537.801,107.104
